loan_status,total_rec_prncp,sub_grade,emp_length,title,delinq_2yrs,loan_amnt,emp_title,inq_last_6mths,pub_rec,open_acc_6m,il_util,total_bc_limit,annual_inc,zip_code,addr_state,dti,mo_sin_old_il_acct,tot_coll_amt,inq_fi,total_cu_tl,bc_util,mort_acc,earliest_cr_line,last_credit_pull_d
Paid,428.67,B5,< 1 year,Debt consolidation,0,35000,Project Manager,0,0,0,73,33000,65000,926xx,CA,26.81,142,0,0,5,63.7,0,Oct-2005,Feb-2018
Paid,149.48,A4,1 year,Debt consolidation,0,6000,Business Development,1,0,1,10,8300,65000,070xx,NJ,8.35,230,0,0,0,40.6,0,Oct-1998,Feb-2018
Paid,1015.66,A2,< 1 year,Debt consolidation,0,40000,Editor/Writer,0,0,0,77,58000,60000,200xx,DC,25.46,68,0,0,1,64.7,2,Aug-2000,Dec-2017
Paid,87.99,E2,10+ years,Credit card refinancing,0,10000,EMT,0,0,0,NA,27100,42000,726xx,AR,31.17,61,0,0,0,96.1,0,Oct-1998,Feb-2018
Paid,1555.61,B2,3 years,Debt consolidation,0,27000,Data Scientist,0,0,0,41,48500,68000,752xx,TX,30.04,149,0,0,0,39.2,2,Jul-2002,Feb-2018
Paid,473.34,A4,6 years,Debt consolidation,0,19000,Insurance Auditor,0,0,1,NA,18200,90000,960xx,CA,11.92,64,0,2,1,46.6,0,Oct-2005,Feb-2018
Paid,192.68,C1,7 years,Debt consolidation,0,16000,Boss and only employee,0,1,2,70,28500,55000,925xx,CA,13.02,117,0,2,1,26.7,2,Mar-2008,Feb-2018
Paid,370.58,A4,2 years,Credit card refinancing,1,14875,Parole/Probation Officer,0,0,0,40,39900,52956,565xx,MN,23.48,195,0,0,0,36.7,3,Sep-2001,Feb-2018
Paid,377.24,A3,< 1 year,Credit card refinancing,0,15000,Document Control,0,0,0,79,22300,66560,770xx,TX,13.18,143,0,0,6,69.4,2,Feb-2000,Feb-2018
Paid,147.63,E5,1 year,Debt consolidation,0,18000,Configuration SME,0,0,0,84,22400,100000,207xx,MD,13.42,112,315,0,0,81.6,0,May-2006,Feb-2018
Paid,655.91,D4,10+ years,Debt consolidation,0,32000,gutter installation,0,0,1,86,10300,35000,144xx,NY,39.4,31,0,0,0,75.6,0,Sep-2007,Dec-2017
